Objective,Algorithm,Mean Rank,Chi-square,p-value,Significant
IAE,PSO,1.0,109.81,7.98e-23,Yes
IAE,KMA,2.43,109.81,7.98e-23,Yes
IAE,SKA,2.57,109.81,7.98e-23,Yes
IAE,HOA,4.23,109.81,7.98e-23,Yes
IAE,GA,4.77,109.81,7.98e-23,Yes
ISE,PSO,1.0,112.53,2.10e-23,Yes
ISE,SKA,2.47,112.53,2.10e-23,Yes
ISE,KMA,2.53,112.53,2.10e-23,Yes
ISE,HOA,4.07,112.53,2.10e-23,Yes
ISE,GA,4.93,112.53,2.10e-23,Yes
ITAE,PSO,1.0,115.31,5.37e-24,Yes
ITAE,KMA,2.0,115.31,5.37e-24,Yes
ITAE,SKA,3.0,115.31,5.37e-24,Yes
ITAE,HOA,4.27,115.31,5.37e-24,Yes
ITAE,GA,4.73,115.31,5.37e-24,Yes
ITSE,PSO,1.0,113.33,1.42e-23,Yes
ITSE,SKA,2.43,113.33,1.42e-23,Yes
ITSE,KMA,2.57,113.33,1.42e-23,Yes
ITSE,HOA,4.03,113.33,1.42e-23,Yes
ITSE,GA,4.97,113.33,1.42e-23,Yes
