Objective,Algorithm,W-Statistic,p-value,Normal Distribution
ITAE,KMA,0.713092819285139,2.4332442088093172e-06,False
ITAE,GA,0.8773353108295611,0.002450137255139028,False
ITAE,HOA,0.8726397184412469,0.0019189188636420593,False
ITAE,PSO,1.0,1.0,True
ITAE,SKA,0.6184170638305568,1.2340143750803681e-07,False
IAE,KMA,0.7338347202336946,5.043531258439645e-06,False
IAE,GA,0.796083574353159,5.5671101875706685e-05,False
IAE,HOA,0.8870801816129983,0.004116535201910446,False
IAE,PSO,1.0,1.0,True
IAE,SKA,0.4636769038915397,2.2595240845539734e-09,False
ISE,KMA,0.9562109831956763,0.2471062630889544,True
ISE,GA,0.8340203381641611,0.0002921318770593467,False
ISE,HOA,0.663298056661224,4.758333426342133e-07,False
ISE,PSO,0.9298734723675832,0.04872455844992902,False
ISE,SKA,0.6214143550594469,1.3461401863347085e-07,False
ITSE,KMA,0.9853519478174526,0.9430242754464667,True
ITSE,GA,0.9129696942961147,0.017694380259199106,False
ITSE,HOA,0.7886837343463056,4.105617048385987e-05,False
ITSE,PSO,0.9500405669631049,0.1694837347308526,True
ITSE,SKA,0.5547854467090032,2.1385487610207726e-08,False
