time_s,speed_kmh,speed_mps
0,0.0,0.00000000
1,0.0,0.00000000
2,0.0,0.00000000
3,0.0,0.00000000
4,0.0,0.00000000
5,0.0,0.00000000
6,0.0,0.00000000
7,0.0,0.00000000
8,0.0,0.00000000
9,0.0,0.00000000
10,0.0,0.00000000
11,0.0,0.00000000
12,0.2,0.05555556
13,1.7,0.47222222
14,5.4,1.50000000
15,9.9,2.75000000
16,13.1,3.63888889
17,16.9,4.69444444
18,21.7,6.02777778
19,26.0,7.22222222
20,27.5,7.63888889
21,28.1,7.80555556
22,28.3,7.86111111
23,28.8,8.00000000
24,29.1,8.08333333
25,30.8,8.55555556
26,31.9,8.86111111
27,34.1,9.47222222
28,36.6,10.16666667
29,39.1,10.86111111
30,41.3,11.47222222
31,42.5,11.80555556
32,43.3,12.02777778
33,43.9,12.19444444
34,44.4,12.33333333
35,44.5,12.36111111
36,44.2,12.27777778
37,42.7,11.86111111
38,39.9,11.08333333
39,37.0,10.27777778
40,34.6,9.61111111
41,32.3,8.97222222
42,29.0,8.05555556
43,25.1,6.97222222
44,22.2,6.16666667
45,20.9,5.80555556
46,20.4,5.66666667
47,19.5,5.41666667
48,18.4,5.11111111
49,17.8,4.94444444
50,17.8,4.94444444
51,17.4,4.83333333
52,15.7,4.36111111
53,13.1,3.63888889
54,12.1,3.36111111
55,12.0,3.33333333
56,12.0,3.33333333
57,12.0,3.33333333
58,12.3,3.41666667
59,12.6,3.50000000
60,14.7,4.08333333
61,15.3,4.25000000
62,15.9,4.41666667
63,16.2,4.50000000
64,17.1,4.75000000
65,17.8,4.94444444
66,18.1,5.02777778
67,18.4,5.11111111
68,20.3,5.63888889
69,23.2,6.44444444
70,26.5,7.36111111
71,29.8,8.27777778
72,32.6,9.05555556
73,34.4,9.55555556
74,35.5,9.86111111
75,36.4,10.11111111
76,37.4,10.38888889
77,38.5,10.69444444
78,39.3,10.91666667
79,39.5,10.97222222
80,39.0,10.83333333
81,38.5,10.69444444
82,37.3,10.36111111
83,37.0,10.27777778
84,36.7,10.19444444
85,35.9,9.97222222
86,35.3,9.80555556
87,34.6,9.61111111
88,34.2,9.50000000
89,31.9,8.86111111
90,27.3,7.58333333
91,22.0,6.11111111
92,17.0,4.72222222
93,14.2,3.94444444
94,12.0,3.33333333
95,9.1,2.52777778
96,5.8,1.61111111
97,3.6,1.00000000
98,2.2,0.61111111
99,0.0,0.00000000
100,0.0,0.00000000
101,0.0,0.00000000
102,0.0,0.00000000
103,0.0,0.00000000
104,0.0,0.00000000
105,0.0,0.00000000
106,0.0,0.00000000
107,0.0,0.00000000
108,0.0,0.00000000
109,0.0,0.00000000
110,0.0,0.00000000
111,0.0,0.00000000
112,0.0,0.00000000
113,0.0,0.00000000
114,0.0,0.00000000
115,0.0,0.00000000
116,0.0,0.00000000
117,0.0,0.00000000
118,0.0,0.00000000
119,0.0,0.00000000
120,0.0,0.00000000
121,0.0,0.00000000
122,0.0,0.00000000
123,0.0,0.00000000
124,0.0,0.00000000
125,0.0,0.00000000
126,0.0,0.00000000
127,0.0,0.00000000
128,0.0,0.00000000
129,0.0,0.00000000
130,0.0,0.00000000
131,0.0,0.00000000
132,0.0,0.00000000
133,0.0,0.00000000
134,0.0,0.00000000
135,0.0,0.00000000
136,0.0,0.00000000
137,0.0,0.00000000
138,0.2,0.05555556
139,1.9,0.52777778
140,6.1,1.69444444
141,11.7,3.25000000
142,16.4,4.55555556
143,18.9,5.25000000
144,19.9,5.52777778
145,20.8,5.77777778
146,22.8,6.33333333
147,25.4,7.05555556
148,27.7,7.69444444
149,29.2,8.11111111
150,29.8,8.27777778
151,29.4,8.16666667
152,27.2,7.55555556
153,22.6,6.27777778
154,17.3,4.80555556
155,13.3,3.69444444
156,12.0,3.33333333
157,12.6,3.50000000
158,14.1,3.91666667
159,17.2,4.77777778
160,20.1,5.58333333
161,23.4,6.50000000
162,25.5,7.08333333
163,27.6,7.66666667
164,29.5,8.19444444
165,31.1,8.63888889
166,32.1,8.91666667
167,33.2,9.22222222
168,35.2,9.77777778
169,37.2,10.33333333
170,38.0,10.55555556
171,37.4,10.38888889
172,35.1,9.75000000
173,31.0,8.61111111
174,27.1,7.52777778
175,25.3,7.02777778
176,25.1,6.97222222
177,25.9,7.19444444
178,27.8,7.72222222
179,29.2,8.11111111
180,29.6,8.22222222
181,29.5,8.19444444
182,29.2,8.11111111
183,28.3,7.86111111
184,26.1,7.25000000
185,23.6,6.55555556
186,21.0,5.83333333
187,18.9,5.25000000
188,17.1,4.75000000
189,15.7,4.36111111
190,14.5,4.02777778
191,13.7,3.80555556
192,12.9,3.58333333
193,12.5,3.47222222
194,12.2,3.38888889
195,12.0,3.33333333
196,12.0,3.33333333
197,12.0,3.33333333
198,12.0,3.33333333
199,12.5,3.47222222
200,13.0,3.61111111
201,14.0,3.88888889
202,15.0,4.16666667
203,16.5,4.58333333
204,19.0,5.27777778
205,21.2,5.88888889
206,23.8,6.61111111
207,26.9,7.47222222
208,29.6,8.22222222
209,32.0,8.88888889
210,35.2,9.77777778
211,37.5,10.41666667
212,39.2,10.88888889
213,40.5,11.25000000
214,41.6,11.55555556
215,43.1,11.97222222
216,45.0,12.50000000
217,47.1,13.08333333
218,49.0,13.61111111
219,50.6,14.05555556
220,51.8,14.38888889
221,52.7,14.63888889
222,53.1,14.75000000
223,53.5,14.86111111
224,53.8,14.94444444
225,54.2,15.05555556
226,54.8,15.22222222
227,55.3,15.36111111
228,55.8,15.50000000
229,56.2,15.61111111
230,56.5,15.69444444
231,56.5,15.69444444
232,56.2,15.61111111
233,54.9,15.25000000
234,52.9,14.69444444
235,51.0,14.16666667
236,49.8,13.83333333
237,49.2,13.66666667
238,48.4,13.44444444
239,46.9,13.02777778
240,44.3,12.30555556
241,41.5,11.52777778
242,39.5,10.97222222
243,37.0,10.27777778
244,34.6,9.61111111
245,32.3,8.97222222
246,29.0,8.05555556
247,25.1,6.97222222
248,22.2,6.16666667
249,20.9,5.80555556
250,20.4,5.66666667
251,19.5,5.41666667
252,18.4,5.11111111
253,17.8,4.94444444
254,17.8,4.94444444
255,17.4,4.83333333
256,15.7,4.36111111
257,14.5,4.02777778
258,15.4,4.27777778
259,17.9,4.97222222
260,20.6,5.72222222
261,23.2,6.44444444
262,25.7,7.13888889
263,28.7,7.97222222
264,32.5,9.02777778
265,36.1,10.02777778
266,39.0,10.83333333
267,40.8,11.33333333
268,42.9,11.91666667
269,44.4,12.33333333
270,45.9,12.75000000
271,46.0,12.77777778
272,45.6,12.66666667
273,45.3,12.58333333
274,43.7,12.13888889
275,40.8,11.33333333
276,38.0,10.55555556
277,34.4,9.55555556
278,30.9,8.58333333
279,25.5,7.08333333
280,21.4,5.94444444
281,20.2,5.61111111
282,22.9,6.36111111
283,26.6,7.38888889
284,30.2,8.38888889
285,34.1,9.47222222
286,37.4,10.38888889
287,40.7,11.30555556
288,44.0,12.22222222
289,47.3,13.13888889
290,49.2,13.66666667
291,49.8,13.83333333
292,49.2,13.66666667
293,48.1,13.36111111
294,47.3,13.13888889
295,46.8,13.00000000
296,46.7,12.97222222
